Announcement_Date,Effective_Date,Added_Ticker,Added_Security,Removed_Ticker,Removed_Security,Reason
2013-12-04,2013-12-10,GGP,General Growth Properties,MOLX,Molex,MOLX acquired byKoch Industries.
2013-11-22,2013-12-02,ALLE,Allegion,JCP,JCPenney,Allegion spun off by Ingersoll Rand.
2013-11-13,2013-11-13,KORS,Michael Kors,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext.
2013-10-21,2013-10-29,RIG,Transocean,DELL,Dell,Founder Michael Dell and Silver Lake Partners acquired Dell.
2013-09-11,2013-09-20,VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices,Market capitalization change.
2013-09-11,2013-09-20,AME,Ametek,SAI,SAIC,Market capitalization change.
2013-09-10,2013-09-10,DAL,Delta Air Lines,BMC,BMC Software,BMC taken private by consortium
2013-07-01,2013-07-08,NLSN,Nielsen Holdings,S,Sprint Nextel,Softbank consortium purchase results in public float below 50%
2013-06-20,2013-07-01,NWSA,21st Century Fox,APOL,Apollo Education Group,Apollo Group's market cap more representative of a mid-cap
2013-06-14,2013-06-21,ZTS,Zoetis,FHN,First Horizon,Zoetis spun off by Pfizer
2013-06-03,2013-06-06,GM,General Motors,HNZ,Heinz,HNZ acquired by consortium
2013-06-14,2013-05-23,KSU,Kansas City Southern,DF,Dean Foods,DF too small after spinoff of White Wave Foods
2013-05-03,2013-05-08,MAC,Macerich,CVH,Coventry Health Care,Acquired by Aetna (AET)
2013-04-24,2013-04-30,REGN,Regeneron Pharmaceuticals,PCS,MetroPCS,A majority of MetroPCS was acquired by T-Mobile
2013-02-07,2013-02-15,PVH,PVH,BIG,Big Lots,Market capitalization changes
2012-12-20,2013-01-02,ABBV,AbbVie,FII,Federated Investors,ABBV spun off from Abbott Labs (ABT)
2012-12-18,2012-12-21,DLPH,Delphi Automotive,TIE,Titanium Metals,TIE acquired by Precision Cast Parts (PCP)
2012-12-05,2012-12-11,GRMN,Garmin,RRD,RR Donnelley,Market capitalization changes
2012-11-26,2012-12-03,DG,Dollar General,CBE,Cooper Industries,Acquired by Eaton Corp. (ETN)
2012-10-01,2012-10-10,PETM,PetSmart,SUN,Sunoco,Acquired by Energy Transfer Partners (ETP)
2012-09-25,2012-10-02,KRFT,Kraft Foods,ANR,Alpha Natural Resources,Kraft split into two companies
2012-10-01,2012-10-02,MDLZ,Mondelez,KFT,Kraft Foods,Old Kraft Foods renamed Mondelez
,2012-10-01,ADT,ADT,LXK,Lexmark,Tyco spun off ADT
,2012-10-01,PNR,Pentair,DV,DeVry,Tyco spin-off merged w/Pentair
,2012-09-05,LYB,LyondellBasell,SHLD,Sears Holdings,SHLD below public float threshold
2012-07-26,2012-07-31,ESV,Ensco,GR,Goodrich Corporation,Goodrich acquired by United Technologies (UTX).
2012-06-25,2012-07-02,STX,Seagate Technology,PGN,Progress Energy,Acquired by Duke Energy (DUK)
2012-06-21,2012-06-29,MNST,Monster Beverage,SLE,Sara Lee Corporation,Split up of Sara Lee
2012-05-10,2012-06-05,LRCX,Lam Research,NVLS,Novellus Systems,Acquired by Lam Research (LRCX)
2012-05-21,2012-05-21,ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility,Acquired by Google (GOOG)
2012-05-17,2012-05-17,KMI,Kinder Morgan,EP,El Paso Corporation,Acquired by Kinder Morgan (KMI)
2012-04-23,2012-04-23,PSX,Phillips 66,SVU,Supervalu,ConocoPhillips spun off Phillips 66
2012-04-02,2012-04-03,FOSL,Fossil,MHS,Medco Health Solutions,Acquired by Express Scripts (ESRX)
2012-03-12,2012-03-13,CCI,Crown Castle,CEG,Constellation Energy Group,Acquired by Exelon Corp. (EXC)
2011-12-11,2011-12-31,WPX,WPX Energy,CPWR,Compuware,Market capitalization changes
2012-02-10,2011-12-20,TRIP,TripAdvisor,TLAB,Tellabs,Expediaspun off TripAdvisor.
2012-02-10,2011-12-16,BWA,BorgWarner,AKS,AK Steel,Market capitalization changes
,2011-12-16,PRGO,Perrigo,MWW,Monster Worldwide,Market capitalization changes
,2011-12-16,DLTR,Dollar Tree,WFR,MEMC Electronic Materials,Market capitalization changes
2011-12-08,2011-12-12,GAS,AGL Resources.,GAS,Nicor Gas,"Nicor acquired by AGL, which retained the GAS ticker."
2012-07-25,2011-11-18,CBE,Cooper Industries,JNS,Janus Capital Group,Janus Capital Group's market capitalization is less than $1.2 billionand is no longer representative of the large cap market space.
2011-10-01,2011-10-31,XYL,Xylem,ITT,ITT,Spun off from ITT Corp.
2011-10-01,2011-10-14,TEL,TE Connectivity,CEPH,Cephalon,Acquired byTeva Pharmaceutical Industries(TEVA).
2011-09-01,2011-09-23,MOS,The Mosaic Company,NSM,National Semiconductor,Acquired byTexas Instruments(TXN).
2011-06-01,2011-07-05,ACN,Accenture,MI,Marshall & Ilsley,Marshall & Iisley is being bought by Bank of Montreal
2012-02-10,2011-06-30,MPC,Marathon Oil,RSH,RadioShack,Market capitalization adjustments.
1999-12-31,2011-06-01,ANR,Alpha Natural Resources,MEE,Massey Energy,Alpha Natural Resources acquired Massey Energy.
2012-06-06,2011-04-27,CMG,Chipotle Mexican Grill,NOVL,Novell,Acquired by private equity firms.
2011-03-29,2011-04-01,BLK,BlackRock,GENZ,Genzyme,Acquired bySanofiAventis (SNY)
2011-03-25,2011-03-31,EW,Edwards Lifesciences,Q,Qwest Communications,Acquired by CenturyLink
2012-03-14,2011-02-28,COV,Covidien,MFE,McAfee,Acquired byIntel
2011-02-16,2011-02-25,JOYG,Joy Global,AYE,Allegheny Energy,Acquired by First Energy (FE).
2010-12-23,2011-01-03,MMI,Motorola Mobility,MDP,Meredith Corp,S&P constituent Motorola spun off Motorola Mobility.
2010-12-09,2010-12-17,CVC,Cablevision,KG,King Pharmaceuticals,Acquired byPfizer.
2010-12-09,2010-12-17,FFIV,F5 Networks,EK,Eastman Kodak,Market Cap changes.
,2010-12-17,NFLX,Netflix,ODP,Office Depot,Market Cap changes.
,2010-12-17,NFX,Newfield Exploration,NYT,The New York Times Company,Market Cap changes.
2010-11-10,2010-11-17,IR,Ingersoll-Rand,PTV,Pactiv,Reynolds Group Holdingsacquired Pactiv.
2010-08-19,2010-08-26,TYC,Tyco International,SII,Smith International,Acquired bySchlumberger(SLB)
2010-07-08,2010-07-14,CB,Chubb,MIL,Millipore,Acquired by Merck KGaA (MKGAY)
2010-06-23,2010-06-30,QEP,QEP Resources,STR,Questar,"Company split. QEP retained, but ticker changed."
2010-06-22,2010-06-28,KMX,CarMax,XTO,XTO Energy,Acquired byExxonMobil
2012-03-14,2010-04-29,CERN,Cerner,BJS,BJ Services,Acquired byBaker Hughes
,2010-02-26,HP,Helmerich & Payne,RX,IMS Health,Taken private
,2009-12-18,V,Visa,CIEN,Ciena,Market capitalization change.[citation needed]
,2009-12-18,MJN,Mead Johnson Nutrition,DYN,Dynegy,Market capitalization change.[citation needed]}
,2009-12-18,CLF,Cliffs Natural Resources,KBH,KB Home,Market capitalization change.[citation needed]
,2009-12-18,SAI,SAIC,CVG,Convergys,Market capitalization change.[citation needed]
,2009-12-18,ROST,Ross Stores,MBI,MBIA,Market capitalization change.[citation needed]
2009-10-29,2009-11-03,PCLN,Priceline.com,SGP,Schering-Plough,Acquired by Merck & Co. (MRK)
2009-08-31,2009-09-28,ARG,Airgas,CBE,Cooper Industries,Redomesticated to Ireland
2009-08-11,2009-08-19,FMC,FMC Corporation,CTX,Centex Corp.,Centex acquired byPulte Homes.
2023-08-21,2009-06-29,PCS,MetroPCS,,,PCS replaced TEL.
2023-08-21,2009-06-25,,,TEL,TE Connectivity,"Tyco Electronics left the index because it was reincorporating in Switzerland, making it ineligible for inclusion."
2009-05-28,2009-06-05,FTI,FMC Technologies,COV,Covidien,"Covidien moved its place of incorporation to Ireland, making it ineligible for inclusion in the index."
2009-02-24,2009-03-03,HRL,Hormel Foods,ACAS,American Capital,Capitalization rebalance.
,2009-03-03,VTR,Ventas,JNY,Jones Apparel Group,Capitalization rebalance.
2008-12-25,2008-12-31,OI,Owens-Illinois,WB,Wachovia Bank,Wachovia Bank acquired byWells Fargo.
2008-09-16,2008-09-16,HRS,Harris Corporation,LEH,Lehman Brothers,Lehman Brothersfiled for bankruptcy.
,2008-09-12,CRM,Salesforce,FRE,Freddie Mac,Capitalization rebalance.
,2008-09-12,FAST,Fastenal,FNM,Fannie Mae,Capitalization rebalance.
2008-06-26,2008-07-01,AKS,AK Steel,CFC,Countrywide Financial Corp,Ak Steel replaced Countrywide Financial.
2008-06-12,2008-06-23,COG,Cabot Oil & Gas,BC,Brunswick,Market capitalization change.
2008-06-12,2008-06-23,MEE,Massey Energy,OMX,OfficeMax,Market capitalization change.
2008-06-03,2008-06-10,LO,Lorillard Tobacco Company,ABK,Ambac Financial,Market Value Decline
2011-10-18,2007-12-20,RRC,Range Resources,TRB,Tribune Media,Taken private
,2007-12-13,GME,GameStop,DJ,Dow Jones,Acquired byNews Corporation
2007-10-23,2007-10-26,JEC,Jacobs Engineering Group,AV,Avaya,Taken private
2007-09-24,2007-10-02,EXPE,Expedia,SLR,Solectron,Solectron acquired byFlextronics.
2007-09-24,2007-10-01,TDC,Teradata,NCR,NCR Corporation,Teradata spun off by NCR Corporation.
2007-09-24,2007-09-27,TSO,Tesoro Corporation,MXIM,Maxim Integrated Products,MXIM delisted from NASDAQ exchange.
2007-09-24,2007-09-26,ICE,Intercontinental Exchange,FDC,First Data,FDC acquired byKKR.
2007-08-16,2007-08-24,LUK,Leucadia National,KSE,KeySpan,Acquired byNational Grid plc
2007-06-21,2007-07-02,DFS,Discover Financial,ADCT,ADC Telecommunications,Discover Financial Services debuts on New York Stock Exchange.
2007-03-23,2007-03-30,KFT,Kraft Foods,TSG,Sabre Corporation,Taken Private
2007-01-04,2007-01-10,AVB,AvalonBay Communities,SBL,Symbol Technologies,Acquired by Motorola
2006-06-02,2006-06-02,JNPR,Juniper Networks,ABS,Albertsons,Albertsons acquired by SuperValu and CVS Corp.
2005-11-16,2005-11-18,AMZN,Amazon,T,AT&T Corporation,AT&T Corp. acquired bySBC Communications
,2005-07-01,STZ,Constellation Brands,GLK,Great Lakes Chemical,Acquired byCrompton Corp.
,2003-09-25,ESRX,Express Scripts,QTRN,Quintiles Transnational,Taken private
2000-12-05,2000-12-05,INTU,Intuit,BS,Bethlehem Steel,Market Cap changes.
,2000-12-05,SBL,Symbol Technologies,OI,Owens-Illinois,Market Cap changes.
,2000-12-05,AYE,Allegheny Energy,GRA,WR Grace,Market Cap changes.
,2000-12-05,ABK,Ambac Financial,CCK,Crown Holdings,Market Cap changes.
2000-07-20,2000-07-27,JDSU,JDS Uniphase,RAD,Rite Aid,Market Cap change.
2000-06-05,2000-06-12,CVG,Convergys,TMC,Times Mirror,Tribune Co.acquired Times Mirror.
2000-06-05,2000-06-07,SBUX,Starbucks,SMS,Shared Medical Systems,Siemens AGacquired Shared Medical Systems.
1999-11-30,1999-12-08,YHOO,Yahoo!,LDW,Laidlaw,Market capitalization change.
1999-06-07,1999-06-09,WLP,Wellpoint,HPH,Harnischfeger Industries,Harnischfeger filed for bankruptcy.
,1999-04-12,ACT,Actavis,,,Actavis plc (NYSE:ACT) added to S&P 500
1998-12-11,1998-12-11,FSR,Firstar,AN,Amoco,BPpurchased Amoco.
1998-12-11,1998-12-11,CCL,Carnival Corp.,GRN,General Re,Berkshire Hathawaypurchased General Re.
1998-12-11,1998-12-11,CPWR,Compuware,SUN,SunAmerica,AIGpurchased SunAmerica.
1997-06-13,1997-06-17,CCI,Countrywide Credit Industries,USL,USLife,AIGacquired USLife.
2025-04-01,1994-09-30,NCC,National City,MCK,McKesson,McKesson sold PCS Health Services toEli Lilly.
2025-04-01,1976-07-01,BUD,Anheuser Busch,HNG,Houston Natural Gas,"Major restructuring of S&P 500 to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth"""
2025-04-01,1976-07-01,DIS,The Walt Disney Company,AYE,Allegheny Energy,"Major restructuring of S&P 500 to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth"""
